id,source_file,dataset_key,series_year,period_start,period_end,period_label,jurisdiction,jurisdiction_slug,location,location_slug,age_group,age_group_slug,metric_key,metric_label,metric_group,detection_method,detection_method_slug,fines,arrests,charges,total_actions
fines-07167,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2011,2011-01-01,2011-12-31,Jan 2011,WA,wa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,558552,0,0,558552
fines-07168,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,1722,0,0,1722
fines-07169,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,ACT,act,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,54201,0,0,54201
fines-07170,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,42900,0,0,42900
fines-07171,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,432586,0,0,432586
fines-07172,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,722,0,0,722
fines-07173,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,27730,0,0,27730
fines-07174,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,QLD,qld,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,28548,0,0,28548
fines-07175,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,QLD,qld,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,653679,0,0,653679
fines-07176,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,SA,sa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,11623,0,0,11623
fines-07177,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,SA,sa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,54773,0,0,54773
fines-07178,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,TAS,tas,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,2141,0,0,2141
fines-07179,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,TAS,tas,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,7410,0,0,7410
fines-07180,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,VIC,vic,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,61497,0,0,61497
fines-07181,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,VIC,vic,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,1185037,0,0,1185037
fines-07182,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,WA,wa,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,17822,0,0,17822
fines-07183,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2012,2012-01-01,2012-12-31,Jan 2012,WA,wa,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,588746,0,0,588746
fines-07184,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,ACT,act,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,1356,0,0,1356
fines-07185,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,ACT,act,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,51948,0,0,51948
fines-07186,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,NSW,nsw,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,33514,0,0,33514
fines-07187,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,NSW,nsw,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,426904,0,0,426904
fines-07188,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,NT,nt,All regions,all-regions,All ages,all-ages,mobile_phone_use,Mobile phone use,Distraction,Police issued,police-issued,1058,0,0,1058
fines-07189,police_enforcement_2024_fines.xlsx,police-enforcement-fines,2013,2013-01-01,2013-12-31,Jan 2013,NT,nt,All regions,all-regions,All ages,all-ages,speed_fines,Speeding fines,Speed enforcement,Fixed or mobile camera,fixed-or-mobile-camera,24536,0,0,24536
